Time,Duration (min),Design Stress (%),Bearing Pressure (kN/m2),Average Settlement (mm)
10.30am,15,12.5,25,1.58
10.45am,15,25,50,4.56
11.00am,15,37.5,75,7.49
11.15am,15,50,100,10.05
11.30am,15,62.5,125,12.2
11.45am,15,75,150,14.35
12.00am,15,87.5,175,16.58
12.15pm,60,100,200,19.38
1.15pm,15,75,150,19.31
1.30pm,15,50,100,18.93
1.45pm,15,25,50,17.98
2.00pm,15,0,0,15.05
2.15pm,15,50,100,17.62
2.30pm,15,100,200,21.07
2.45pm,15,125,250,25.93
3.00pm,60,150,300,32.61
4.00pm,15,100,200,32.37
4.15pm,15,50,100,31.45
4.30pm,15,0,0,26.23
